Issue,Vol.,Title,Collecting,Release date,,,,,,,,,
35,40,House of M,House of M #1-8,17 Apr 2013,http://marvel.com/comics/issue/2092/house_of_m_2005_1,http://marvel.com/comics/issue/2093/house_of_m_2005_2,http://marvel.com/comics/issue/2198/house_of_m_2005_3,http://marvel.com/comics/issue/2199/house_of_m_2005_4,http://marvel.com/comics/issue/2316/house_of_m_2005_5,http://marvel.com/comics/issue/14511/house_of_m_2005_6,http://marvel.com/comics/issue/2427/house_of_m_2005_7,http://marvel.com/comics/issue/2428/house_of_m_2005_8,
36,26,Wolverine: Origin,Wolverine: Origin #1-6,1 May 2013,,,,,,,,,
37,30,Fantastic Four: Unthinkable,Fantastic Four (Vol 3) #67-70 and Fantastic Four (Vol. 1) #500-502,15 May 2013,,,,,,,,,
38,5,Thor: The Last Viking,Thor (Vol 1) #337-343,29 May 2013,,,,,,,,,
39,50,Civil War,Civil War #1-7,12 Jun 2013,,,,,,,,,
40,7,Marvel Super Heroes: Secret Wars (Part 2),Marvel Super Heroes; Secret Wars #7-12,26 Jun 2013,http://marvel.com/comics/issue/10589/secret_wars_1984_7,http://marvel.com/comics/issue/10590/secret_wars_1984_8,http://marvel.com/comics/issue/10591/secret_wars_1984_9,http://marvel.com/comics/issue/10581/secret_wars_1984_10,http://marvel.com/comics/issue/10582/secret_wars_1984_11,http://marvel.com/comics/issue/10583/secret_wars_1984_12,,,
41,31,Fantastic Four: Authoritative Action,Fantastic Four (Vol 1) #503-511,10 Jul 2013,,,,,,,,,
42,51,Fallen Son: Death of Captain America,"Captain America (Vol 5) #25 and Fallen Son: Wolverine, Captain America, Avengers, Spider-Man, and Iron Man",24 Jul 2013,,,,,,,,,
43,19,Punisher: Welcome Back Frank (Part 2),The Punisher (Vol 3) #7-12,7 Aug 2013,http://marvel.com/comics/issue/18983/punisher_2000_7,http://marvel.com/comics/issue/18984/punisher_2000_8,http://marvel.com/comics/issue/18985/punisher_2000_9,http://marvel.com/comics/issue/18986/punisher_2000_10,http://marvel.com/comics/issue/22447/punisher_2000_11,http://marvel.com/comics/issue/22448/punisher_2000_12,,,
44,29,The Ultimates: Homeland Security,The Ultimates #7-13,21 Aug 2013,,,,,,,,,
45,12,Wolverine: Weapon X,Marvel Comics Presents #72-84,4 Sep 2013,,,,,,,,,
46,32,1602,1602 #1-8,18 Sep 2013,,,,,,,,,
47,17,Daredevil: Guardian Devil,Daredevil (Vol 2) #1-8,2 Oct 2013,,,,,,,,,
48,22,The Amazing Spider-Man: Revelations & Until the Stars Turn Cold,Amazing Spider-Man (Vol 2) #37-45,16 Oct 2013,,,,,,,,,
49,53,Eternals,Eternals (Vol 3) #1-7,30 Oct 2013,,,,,,,,,
50,38,Black Panther: Who Is The Black Panther,Black Panther (Vol 4) #1-6,13 Nov 2013,,,,,,,,,
51,55,World War Hulk,World War Hulk #1-5,27 Nov 2013,,,,,,,,,
52,47,Fantastic Four: The End,Fantastic Four: The End #1-6,11 Dec 2013,,,,,,,,,
53,59,Captain Britain and MI13: Vampire State,Captain Britain & MI-13 #10-15 and Captain Britain And MI-13 Annual #1,25 Dec 2013,,,,,,,,,
54,57,Wolverine: Old Man Logan,Wolverine (Vol 3) #66-72 and Wolverine: Giant Size Old Man Logan,8 Jan 2014,,,,,,,,,
55,Classic I,Marvel Origins: The 60s,"Fantastic Four #1, Amazing Fantasy #15, Incredible Hulk #1, Daredevil #1, Tales of Suspense #39, Uncanny X-Men #1, Avengers #1, Avengers #4, Tales to Astonish #27, and Tales to Astonish #44",22 Jan 2014,,,,,,,,,
56,58,Secret Invasion,Secret Invasion #1-8,5 Feb 2014,,,,,,,,,
57,Classic XXXIV,Uncanny X-Men: Second Genesis,Giant-Size X-Men (Vol 1) #1 & X-Men (Vol 1) #94-103,19 Feb 2014,,,,,,,,,
58,49,Doctor Strange: The Oath,Doctor Strange: The Oath #1-5,5 Mar 2014,,,,,,,,,
59,56,Thunderbolts: Faith In Monsters,Thunderbolts #110-115 and Civil War: Choosing Sides,19 Mar 2014,,,,,,,,,
60,68,Venom,Venom (Vol 2) #1-5,2 Apr 2014,,,,,,,,,
61,39,Ghost Rider: Road To Damnation,Ghost Rider (Vol 5) #1-6,16 Apr 2014,,,,,,,,,
62,41,Son of M,Son of M #1-6,30 Apr 2014,,,,,,,,,
63,60,Siege,Siege #1-4 and Siege: The Cabal,14 May 2014,,,,,,,,,
64,Classic XII,The Avengers: Birth of Ultron,Avengers vol. 1 #54-60 and Avengers Annual #2,28 May 2014,,,,,,,,,
65,Classic XXX,Captain America and The Falcon: Secret Empire,Captain America and the Falcon #169-176,11 June 2014,,,,,,,,,
66,61,Avengers Prime,Avengers Prime #1-5,25 June 2014,,,,,,,,,
67,Classic XV,X-Men: Twilight of the Mutants,X-Men #50-59,09 Jul 2014,,,,,,,,,
68,Classic III,"Doctor Strange: A Nameless Land, A Timeless Time",Strange Tales #130-146,23 Jul 2014,,,,,,,,,
69,65,Shadowland,Shadowland #1-5,6 Aug 2014,,,,,,,,,
70,Classic IV,Fantastic Four: The Coming of Galactus,Fantastic Four (Vol 1) #44-51 and Fantastic Four Annual #3,20 Aug 2014,,,,,,,,,
71,?,The Invincible Iron Man: The Tragedy and the Triumph,"Tales of Suspense #91-99, Iron Man and Sub-Mariner #1 and Invincible Iron Man #1-4",3 Sep 2014,,,,,,,,,
72,72,X-Men: Schism,"X-Men: Schism #1-5, Generation Hope #10-11 & X-Men: Regenesis #1",17 Sep 2014,,,,,,,,,
73,?,The Life and Death of Captain Marvel (Part 1),"Iron Man #55, Captain Marvel #25-29, and Marvel Feature #12",1 Oct 2014,,,,,,,,,
74,?,The Incredible Hulk: This Monster Unleashed,"Tales To Astonish #101, The Incredible Hulk #102-108 and Annual #1",15 Oct 2014,,,,,,,,,
75,?,Secret Avengers: Mission to Mars,Secret Avengers #1-5,29 Oct 2014,,,,,,,,,
76,?,Nick Fury: Agent of S.H.I.E.L.D. (Part 1),Strange Tales #151-162,12 Nov 2014,,,,,,,,,
